Contexto_H,SubCuenca,Cod_Muestr,Cod_SNGM,Nombre_Pto,uTM_Este,uTM_Norte,Elv,Tipo_Pto,Categoria,Campana,Tipo_Piper,Salinidad,Balan_Ioni,Oxigeno_18,Deuterio,Ex_deuteri,D_O,pH_Terr,pH_Lab,CE_terr,CE_Lab_uS_,OD _,OD ppm,Temp_Terr,CO3_mg/l,HCO3_mg/l,SO4_mg_l,Cl_mg_l,NO3_mg_l,Ca_mg_l,Mg_mg_l,Na_mg_l,K_mg_l,Li_mg_l,F_mg_l,Al_mg_l,Sb_mg_l,As_mg_l,Ba_mg_l,Be_mg_l,B_mg_l,Cd_mg_l,Co_mg_l,Cu_mg_l,Cr_mg_l,Sn_mg_l,P_mg_l,Fe_mg_l,Mn_mg_l,Hg_mg_l,Mo_mg_l,Ag_mg_l,Pb_mg_l,Se_mg_l,V_mg_l,Zn_mg_l,Br_mg_l,Rb_mg_l,Sr_mg_l,Y_mg_l,Cs_mg_l,Hf_mg_l,Ta_mg_l,Tl_mg_l,Th_mg_l,u_mg_l,Ni_mg_l,SiO2_mg_l,I_mg_l,SSD_mg_l,STD_mg_l,Alca_CaCO3,TDS_meq_l,Balan_abso,Balan_5,Cat_r_tot,An_r_tot,rNa_rK,rNa,rK,rCa,rMg,rLi,rB,rAs,rFe,rAl,rMn,rZn,rHCO3_rCO3,rHCO3,rSO4,rCl,rNO3,rCO3,rF,rBr,rCa_rCO3,rCa_rSO4,rNa_rCl,rBr_rCl,rMg_rCa,ICB,rCat_tot,Ca,Mg,Na_K,CatX,CatY,rAn_tot,HCO3_CO3,SO4,Cl,AnX,AnY,CeX,CeY,Anion,Cation,K_NaCl,Ca_MgSO4HC,RAS_1,Infoqca,Codlab,InfoOD,Na100
B1,Rio Grande Medio,LIM-CE-001,SNGM-LMR-0139,Pozo 3 AdV Montepatria,312504,6602125,410,Subterranea,Pozo,Campana 3,Bicarbonatada calcica,Dulce mineralizada,2,-10.02,-80.2,-0.07,8.007452957,7.22,8.56,793,906,29.1,2.5,20.17,17.04,252.83,136.375,45.884,29.32,113.8,22.5,48.8,1.99,0.02,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,570,235,19.03329333,1.998514042,Admisible,9.706838185,9.326455145,2.17356,2.12266,0.0509,5.678926094,1.851470891,0.002881429,0,0,0,0,0,0,4.711598303,4.143674026,2.839341668,1.294220517,0.472872718,0.567924277,0.008421939,0,9.999442402,2.000085498,1.640108466,0,0.326024826,-0.679435415,9.703956756,0.585217581,0.19079546,0.22398696,0.31938,0.16523,8.84516,0.532675276,0.321005105,0.14631962,1.406822172,0.277998575,0.895655842,1.16336463,Bicarbonatada,calcica,0.879339254,0.547381291,1.093923401,2019-050,8389-19,IE 047-19,21.87419091
B1,Rio Guatulame,LIM-CE-002,SNGM-LMR-0140,Pozo 4 AdV El Palqui,313307,6594078,402,Subterranea,Pozo,Campana 3,Bicarbonatada calcica,Dulce moderadamente mineralizada,1.51,-10.23,-79.9,1.96,7.808636048,7.36,8.54,669,732,7.2,0.57,12.78,12.24,214.51,80.478,38.647,40.292,83,20.5,39.5,0.85,0.02,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,445,196,14.91854159,1.505618296,Admisible,7.571578943,7.346962651,1.73988,1.71814,0.02174,4.14192325,1.6868957,0.002881429,0,0,0,0,0,0,3.923586612,3.515641005,1.675560321,1.090091107,0.649829043,0.407945607,0.007895568,0,10.15312624,2.471963079,1.576141949,0,0.407273529,-0.596085458,7.568697514,0.547243861,0.222877939,0.2298782,0.34132,0.19302,6.68924,0.586552099,0.250485976,0.162961925,1.388204913,0.216927219,0.871663051,1.111603968,Bicarbonatada,calcica,0.649787457,0.637617624,1.006428298,2019-050,8390-19,IE 047-19,22.70058115
B1,Rio Grande Alto,LIM-CE-003,SNGM-LMR-0022,Rio Grande despues de rio Carrizal,348434,6567281,1387,Superficial,Rio,Campana 3,Bicarbonatada calcica,Dulce,-2.09,-13.02,-98.3,5.87,7.548859708,8.27,7.6,258,97,1.3,0.12,13.35,0,46.88,8.6,2.3,1.5,17,0.5,2,0.5,0.02,0.1,0.01,0.005,0.007,0.003,0.001,0.202,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.017,0.001,0.065,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,54,57,38,2.03952714,2.093738221,Admisible,0.998980865,1.041707538,0.09978,0.08699,0.01279,0.848345726,0.041143798,0.002881429,0.004717417,0.000467153,0.000268601,0.001111852,0.000109214,0.000152952,0.768324322,0.768324322,0.179052893,0.064874623,0.024191988,0,0.005263712,0.000212755,-99,4.737961556,1.340961098,0.003279484,0.048498856,-0.538085604,0.989272247,0.85754526,0.041589964,0.100864776,0.12166,0.03602,1.01225,0.759024872,0.176885718,0.06408941,1.252532269,0.153187526,0.720919952,1.073967069,Bicarbonatada,calcica,0.034908101,-0.057887692,0.130447453,2019-52,8437-19,IE 044-19,8.793771953
B1,Rio Grande Alto,LIM-CE-004,SNGM-LMR-0023,Rio Grande en Las Ramadas,348738,6567586,1380,Superficial,Rio,Campana 3,Mixta calcica,Dulce moderadamente mineralizada,-2.46,-13.08,-97.8,6.81,7.479055683,8.16,8.39,249,248,70.4,6.3,12.91,0,65.93,42,20,1.5,29,3.5,15,0.5,0.1,0.12,0.01,0.005,0.009,0.003,0.001,0.203,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.037,0.002,0.078,0.0005,0.001,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,142,150,54,4.976055285,2.456711848,Admisible,2.427348264,2.549617983,0.66525,0.65246,0.01279,1.447178003,0.288006583,0.014407146,0.01026732,0.000600625,0.000268601,0.001111852,0.000109214,0.000152952,1.080538024,1.080538024,0.874444363,0.564127154,0.024191988,0,0.006316454,0.000463056,-99,1.654968644,1.156578947,0.000820836,0.199012549,-0.179248265,2.400430554,0.602882679,0.119981219,0.277136103,0.33713,0.10391,2.51911,0.428936498,0.34712439,0.223939112,1.497501307,0.30061854,0.974099802,1.207176539,Mixta,calcica,0.101118814,-0.219797801,0.700477912,2019-52,8438-19,IE 044-19,27.18085675
B1,Rio Grande Alto,LIM-CE-005,SNGM-LMR-0025,Rio Carrizal antes de rio Grande,348879,6567337,1381,Superficial,Rio,Campana 3,Bicarbonatada calcica,Dulce moderadamente mineralizada,-0.31,-11.94,-88.6,6.93,7.419531737,8,8.57,458,167,79.3,7.08,12.96,0,81,18,1.6,1.5,21,4.5,7.5,0.5,0.02,0.04,0.01,0.005,0.0025,0.007,0.001,0.09,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.005,0.003,0.0005,0.066,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.001,0.0025,0,0,97,103,74,3.535022072,0.312747107,Admisible,1.762652462,1.773712341,0.33902,0.32623,0.01279,1.047956485,0.370294178,0.002881429,0.000693738,0.00016684,0.000268601,0.001111852,0.000109214,0.000152952,1.327522826,1.327522826,0.37476187,0.045130172,0.024191988,0,0.002105485,3.13E-05,-99,2.79632633,7.228618421,0.000693273,0.353348811,-6.511984898,1.757267836,0.596355583,0.210721536,0.192922881,0.29828,0.18249,1.74741,0.759706724,0.214466454,0.025826822,1.233060049,0.185733397,0.766608078,0.993651909,Bicarbonatada,calcica,0.293887001,-0.284034033,0.387401049,2019-52,8439-19,IE 044-19,18.56454596
A1,Rio Hurtado,LIM-CE-006,SNGM-LMR-0130,Pozo 1 ESSCO en Huamalata,293012,6616058,250.525299,Subterranea,Pozo,Campana 3,Mixta calcica,Dulce moderadamente mineralizada,3.54,-7.46,-55.9,3.75,7.497455941,7.5,8.41,803,621,87.8,7.8,19.46,0,167.26,89,45,14,73,13,40,1.4,0.02,0.08,0.01,0.005,0.0025,0.017,0.001,0.237,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0.00015,0.0025,0.001,0.001,0.0025,0.006,0.005,0.171,0.0005,0.336,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,358,378,137,12.63476895,3.537605054,Admisible,6.540472012,6.093530887,1.77569,1.73989,0.03581,3.642896352,1.069738737,0.002881429,0.04745167,0.00016684,0.000268601,0.001111852,0.000109214,0.000152952,2.74125269,2.74125269,1.852989246,1.269286097,0.225791884,0,0.00421097,0.002140068,-99,1.965956553,1.370760234,0.001686041,0.29365061,-0.398970941,6.488329455,0.561453665,0.164871211,0.273675124,0.35611,0.14278,5.86353,0.467509096,0.316019508,0.216471396,1.47448115,0.273680922,0.953083014,1.176768985,Mixta,calcica,0.506408268,0.118393153,1.133454554,2019-52,8440-19,IE 044-19,26.81563752
A1,Rio Limari,LIM-CE-007,SNGM-LMR-0170,Noria 3 AdV Los Penones,291956,6613663,230,Subterranea,Noria,Campana 3,Mixta,Dulce moderadamente mineralizada,5.39,-8.69,-69.1,0.41,7.95265299,7.2,8.44,759,682,29.6,2.7,18.57,0,168.72,125,54,1.5,57,16,80,2.1,0.02,0.15,0.01,0.005,0.0025,0.012,0.001,0.144,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.0015,0.00015,0.0025,0.001,0.001,0.019,0.0015,0.005,0.047,0.0005,0.107,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,437,461,168,14.63441193,5.393492297,Descartar,7.712273,6.922924738,3.53349,3.47977,0.05371,2.844453316,1.316601522,0.002881429,0.013042272,0.00016684,0.000268601,0.001111852,0.000109214,0.000152952,2.765180879,2.765180879,2.602512987,1.523143317,0.024191988,0,0.007895568,0.000588206,-99,1.09296412,2.28460039,0.000386179,0.462866279,-1.319863774,7.69453984,0.36967166,0.171108546,0.459219794,0.54477,0.14818,6.89084,0.401283735,0.37767733,0.221038936,1.509877601,0.327078162,1.07896803,1.073435432,Mixta,mixta,2.010341685,-1.206639027,2.412483179,2019-52,8441-19,IE 044-19,45.22393654
A1,Rio Limari,LIM-CE-008,SNGM-LMR-0113,Pozo 1 APR Barraza,261546,6605798,50,Subterranea,Pozo,Campana 3,Mixta,Salobre,-3.12,-7.48,-62.6,-2.75,8.366942307,7.34,8.5,2779,2670,75.6,6.91,19.27,24,425,380,514,21,165,76,303,4.9,0.1,0.2,0.01,0.005,0.0025,0.134,0.001,0.459,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.02,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.02,3.118,0.0005,1.407,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.007,0.0025,0,0,1696,1791,387,59.23607822,3.121931335,Admisible,28.67602276,30.52421349,13.30497,13.17964,0.12533,8.23394381,6.253857231,0.014407146,0.865229858,0.00016684,0.000268601,0.001111852,0.001456187,0.000611808,7.765290891,6.965397544,7.911639479,14.49806786,0.338687827,0.799893348,0.010527424,0.039021826,10.29380209,1.040737995,0.909062052,0.002691519,0.759521485,0.082293617,27.79277047,0.296262074,0.22501741,0.478720516,0.59123,0.19487,30.175,0.257341884,0.262191879,0.480466237,1.711562177,0.227064828,1.160689316,1.181204611,Mixta,mixta,-1.193098438,-0.389235982,4.896856963,2019-058,8448-19,IE 046-19,47.42112104
A1,Rio Limari,LIM-CE-009,SNGM-LMR-0005,Rio Limari en cruce a Barraza,262080,6606125,57,Superficial,Rio,Campana 3,Mixta,Dulce mineralizada,8.14,-7.43,-62,-2.6,8.349573531,7.88,8.58,2685,853,71.5,6.78,17.6,21,97,110,132,41,89,22,81,1.4,0.04,0.2,0.01,0.005,0.0025,0.076,0.001,0.382,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.01,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.005,2.687,0.0005,1.14,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.005,0.0025,0,0,544,574,113,19.5710825,8.135765374,Descartar,10.56456558,8.974881968,3.55908,3.52327,0.03581,4.441339388,1.810327093,0.005762858,0.745629451,0.00016684,0.000268601,0.001111852,0.000728093,0.000152952,2.289656236,1.589749557,2.290211428,3.723239218,0.661247661,0.699906679,0.010527424,0.033627853,6.345616524,1.939270468,0.946291866,0.009031881,0.407608367,0.044090847,9.810744927,0.452701545,0.184524937,0.362773517,0.45504,0.1598,8.30311,0.275758974,0.27582584,0.448415186,1.686328106,0.238872184,1.093507272,1.265667989,Mixta,mixta,-0.164160773,2.371705496,1.992797387,2019-058,8449-19,IE 046-19,35.91236969
B1,Rio Guatulame,LIM-CE-010,SNGM-LMR-0012,Rio Guatulame antes embalse La Paloma,312082,6592478,397,Superficial,Rio,Campana 3,Bicarbonatada calcica,Dulce moderadamente mineralizada,3.46,-7.03,-61.3,-5.03,8.714920136,8.07,8.72,462,405,82.6,7.68,16.73,3.9,188,47,12,1.5,46,14,21,1.6,1,0.1,0.01,0.005,0.0025,0.025,0.001,0.247,0.001,0.001,0.005,0.0005,0.0015,0.025,0.005,0.013,0.00015,0.0025,0.001,0.001,0.0025,0.0015,0.005,1.21,0.0005,0.269,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0,0,238,252,160,9.454956327,3.460880801,Admisible,4.884400847,4.557623634,0.95436,0.91344,0.04092,2.295523729,1.152026332,0.144071459,0.335769124,0.00016684,0.000268601,0.001111852,0.000946522,0.000152952,3.211146759,3.08116409,0.978544883,0.338476293,0.024191988,0.129982669,0.005263712,0.015143172,17.66022922,2.345854308,2.698684211,0.044739239,0.501857732,-1.819587241,4.401913496,0.521483153,0.261710352,0.216806495,0.34766,0.22665,4.52817,0.70914922,0.216101721,0.074749059,1.28279992,0.18714958,0.803828637,1.016752176,Bicarbonatada,calcica,0.615887143,-0.612158912,0.695728879,2019-058,8450-19,IE 046-19,20.75098993
A1,Rio Limari,LIM-CE-011,SNGM-LMR-0002,Rio Limari antes de desembocadura,245024,6596957,3,Superficial,Rio,Campana 3,Clorurada mixta,Salobre,-5.2,-6.93,-57.3,-1.85,8.267139069,8.25,8.5,2750,3100,120.2,11.78,15.96,12.72,190.11,440,691,1.5,195,90,270,5.8,0.04,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,1899,177,61.25846789,5.204117144,Descartar,29.03525273,32.22321516,11.89258,11.74424,0.14835,9.731024502,7.405883563,0.005762858,0,0,0,0,0,0,3.539688714,3.11574524,9.160845713,19.49059318,0.024191988,0.423943474,0.007895568,0,22.95358956,1.062240846,0.60255922,0,0.761058978,0.389829663,29.02948987,0.335211695,0.25511587,0.409672435,0.53723,0.22094,32.19113,0.109958519,0.284576726,0.605464755,1.847753118,0.246450674,1.199856958,1.368639741,Clorurada,mixta,-7.598011371,4.860317112,4.012116704,2019-050,8403-19,IE 047-19,40.45622805
